currentNeighborsBufferIdx = 1
earth.base.vertexBuffer: bytes = 144, elementSize = 12, format = float3
earth.base.indexBuffer: bytes = 1572912, elementSize = 12, format = uint3
earth.cbt.bufferArray0: bytes = 3324, elementSize = 4, format = uint32
earth.cbt.bufferArray1: bytes = 16384, elementSize = 8, format = uint64
earth.heapIDBuffer: bytes = 1048608, elementSize = 8, format = uint64
earth.neighborsBuffers0: bytes = 1572912, elementSize = 12, format = uint3
earth.neighborsBuffers1: bytes = 1572912, elementSize = 12, format = uint3
earth.updateBuffer: bytes = 4194432, elementSize = 32, format = BisectorData
earth.classificationBuffer: bytes = 1048616, elementSize = 4, format = uint32
earth.simplificationBuffer: bytes = 524308, elementSize = 4, format = uint32
earth.allocateBuffer: bytes = 524308, elementSize = 4, format = uint32
earth.propagateBuffer: bytes = 524312, elementSize = 4, format = uint32
earth.indirectDrawBuffer: bytes = 40, elementSize = 4, format = uint32
earth.indirectDispatchBuffer: bytes = 36, elementSize = 4, format = uint32
earth.indexedBisectorBuffer: bytes = 524304, elementSize = 4, format = uint32
earth.visibleIndexedBisectorBuffer: bytes = 524304, elementSize = 4, format = uint32
earth.modifiedIndexedBisectorBuffer: bytes = 524304, elementSize = 4, format = uint32
earth.lebVertexBuffer: bytes = 12583296, elementSize = 24, format = double3
earth.currentVertexBuffer: bytes = 6291648, elementSize = 12, format = float3
earth.currentDisplacementBuffer: bytes = 4718736, elementSize = 12, format = float3
meshUpdater.indirectBuffer: bytes = 36, elementSize = 4, format = uint32
meshUpdater.memoryBuffer: bytes = 8, elementSize = 4, format = int32
meshUpdater.validationBuffer: bytes = 8, elementSize = 4, format = int32
lebMatrixCache: bytes = 2304, elementSize = 36, format = float3x3
